title,review,star
Overpriced but works as described,"I Initially gave this cup 1 star because it leaked. I called the 800 number and the manufacturer walked me through the correct placement of the handles, which corrected the leaking issue. The handles snap on and once on, should not be removed again. When correctly attached, the handles should slightly overlap the top rim of the cup.  I was also instructed not to fill the cup all the way to the fill line and to take apart the two parts of the lid for cleaning. NThat said, I still feel the cup is overpriced. Also, my father does not like that he has to tip his head so far back to sip from the cup.",3.0 out of 5 stars
The Provale Cup dispenses 1 Tbsp of un-thickened liquid at a time and it did satisfy his thirst until he was able to heal and ...,After my husband's series of seizures it left his esophagus damaged and he aspirated making it necessary to drink honey thickened fluids.  He has always be a huge water drinker and the thickened liquids did not quench his thirst at all.  The Provale Cup dispenses 1 Tbsp of un-thickened liquid at a time and it did satisfy his thirst until he was able to heal and drink liquids out of a normal cup again.,5.0 out of 5 stars
A truly amazing cup to assist my husband in swallowing without aspirating,A truly amazing cup to assist my husband in swallowing without aspirating. It would be helpful if it was a little less costly so I would be able to have more that 1.I have recommended this product to many people.Thanks again.,5.0 out of 5 stars
Overpriced,"This cup is overpriced considering the fact that it leaks non stop. I have to change my clients shirt any time she wants to drink anything other than water. For $36+ you'd think they could design this a little better. Breaks too easily, accidental drops are bound to happen with the population that need these devices.We're searching for another alternative rather than waste her limited funds on another of these.",2.0 out of 5 stars
Does Amazon want to keep customers?,"Unfortunately these cups were flawed in that the 2 handles could not be placed on the cup because it caused leakage. We were able to make it work with one handle. But for the price, it was a cheap product. Returning them was not an option. We tried other types but to no avail. We found ourselves returning items and now that Amazon has this new return policy...(too many returns will knock me off their customer list) we decided to keep this defective product.",3.0 out of 5 stars
Safe drinking but could be better designed.,"Since the product is the only one on the market that’s available to buy and ship to the EU, I understand that they are able to put their price so high and I thought if it is life saving coz my dad won’t drown himself while drinking it will be great. I have used the only other brand’s version before a lot and it was always leak proof and great but this one has a hole at the back of the rim of the lid which isn’t covered properly by the rim of the main cup.. I thought this was to stop vacuum but is way too big and more comes out of it there than the actual sipping opening of the cup. Which my dad noticed and started drinking out of there which made the whole cup pointless as it’s meant to only let 5mls out at once. The lid doesn’t click in and doesn’t screw on it’s a push on one but it doesn’t seem to go all the way on one side, I tried with a lot of force it’s annoying it doesn’t leak there though so the actual seal would be ok if it didn’t have a hole at the back. It’s good that the handles are removable, as first I put both on but my dad held it the wrong side and was trying to  drink with the sipping bit down... so I could remove and he can work is out now. He does often think that the opposite flap that we can use to open it is the bit where he should be drinking from it so I need to remind him that it’s the other way.Though, if the cup isn’t tipped backwards, it wouldn’t leak that much but it’s hard not to when someone is ill and has coordination problems.I tried to drink out of the cup several times and we used it with thickened fluids and I had to tip it almost 180 degrees to get all of the 5mls out but that makes it quite safe and when my dad does manage to use it it is a safe way of drinking for him so I’m happy to leave the cup with him to drink when unsupervised.Overall makes me feel safer about his drinking but could be better.",4.0 out of 5 stars
Disappointed with the cup,"This cup was purchased for my husband who has Parkinson's. His swallowing of liquids needs to controlled in by using a cup that delivers only 2 tablespoons of liquid at one time which it does. The problem with the cup is that it does leak when the person is lifting the cup to their mouth.  In order to get the liquid the person needs to lift and tilt the cup quite high. This is very difficult for someone with Parkinson's whose motor skills are weak. Also, the price of this cup is much too expensive.",2.0 out of 5 stars
$37 FA WHATTTT???,Can you say INEFFECTIVE ADULT SIPPY CUP. I bought this for my father who had stopped eating and drinking.  At a high recommendation I bought this cup as we were trying to reintroduce food and drink. The cup had oxymoron-ish directions and leaked. It was totally over priced for its ineffectiveness.  GARBAGE. I could have gone to the dollar store and bout a child's sippy cup with no leaks and no confusing directions.,1.0 out of 5 stars
This cup only works if the drinker has the ability to and knows how to suck through spout,"This cup is NOT for everyone who has a dysphagia diagnosis. The person must be able to such the drink through the spout. This cup does not act like a sippy cut that ""pours"" into the mouth.  I ordered this for my brother, but he is unable to use it. I feel this information should be included in the product description.",2.0 out of 5 stars
Not worth the money,"This cup needs to be redesigned? You can not fill it to the ""line"". By the way,the line is very hard to see . If you fill it all the way to the invisible line it leaks.It's a good idea if only it worked. In my case it's not worth the trouble or the expense,it is overpriced.",1.0 out of 5 stars
