title,review,star
"Great for people who cannot, for whatever reason(s) drink from regular, open-top  cups","My bedridden husband can still drink from cups, thanks to this special design! I got depressed one day, worrying that he suddenly needed tube-feedings. My husband of 21 years had suddenly stopped easily drinking liquids, and was also, not eating food! He has advanced stage Parkinson's Disease and Dementia now, and he no longer could hold cups, nor drink from them without contents spilling everywhere. I bought a food processor, only to see that he still wants REAL solid foods, not mush. Still working at ensuring he continues to get proper, solid- foods nutrition. But these cups now easily allow for him to drink his Ensure Plus, his water, even Pepsi, and whatever else he still craves! And there are two drinking options: the sippy-cup top that lets him drink through a sprout, or the flat-top-with-a-hole, that lets him drink from the cup through a straw inserted through that hole. I prefer the sippy nozzle top, but my husband's brother sometimes uses that straw-through-hole top, since I guess he thinks that makes my husband look more macho (smile)!",5.0 out of 5 stars
She has very bad arthritis throughout her body and holding hot cups is ...,I bought this for my mother to try to heat up water in the microwave to make her coffee or tea. She has very bad arthritis throughout her body and holding hot cups is difficult and dangerous but with the two handles she can hold it safely. The description said it is microwave safe but I would not do it with the lid on. She heats up her water for 2 minutes with no issues as far as warping or any type of damage. Also the lid with the spout helps her drink if she is in bed. I would highly recommend it for anyone that is bedridden or has problems with their hands.,5.0 out of 5 stars
Excellent producr,"My mom with dementia had a stroke and was having a hard time with drinking from different kind of glasses and cups for her water, hot tea, etc.  I tried many kinds.  This two-handled mug did the trick for her!  It will take hot or cold fluids.  The big plus is that she can see how much is in the mug as she's lifting it to her lips so can anticipate how to swallow.  The bigger plus is that she can manage drinking now independently so she now has more dignity when eating: hurray!",5.0 out of 5 stars
Great Cup for Older Adults,We purchased this set of cups for my 87 year old mother-in-law. She has strength and balance issues along with essential tremors. These cups make it easy for her to drink from without spilling anything. The handles are easy to grab and hold. The base it wider than the cup making it easy to sit down as well.,5.0 out of 5 stars
Excellent solution for hand tremors.,"This works very well for people with hand tremors or weakness in their hands. The cup can be held with one or two hands, gets pleasantly warm with hot coffee but not hot to the touch. The spout allows drinking without spilling, huge benefit with tremors. Lid is a tight seal. My mom loves it!",5.0 out of 5 stars
As described,"I bought these for my mother in law who is in assisted living.  They are as described but she is unable to use them as they are not 100% spill proof.  Again, they are not listed as spill proof, I just didn't read.",4.0 out of 5 stars
Great for anyone with limited hand mobility,"My grandma has arthritic hands that limit her mobility to grasp items. These mugs with handles help her to drink her beverages independently. She doesn’t drink anything warm, so I don’t know how they handle hot beverages. They do tend to crack after a year or two ( this is a reorder). We only handwash these mugs. My only complaint to improve these mugs is to make the lids easier to remove. With that said, these mugs with handles have changed my grandmother’s life tremendously.",5.0 out of 5 stars
Just what we needed.,"These 8 oz. cups are great. They have the volume markings on the side of the cup, making thickening supplements much easier to calculate.  I like that the cups come with 2 different types of lids,  so we could choose the one appropriate for dad. I purchased one twin pack and was so satisfied that I came back and ordered another. These are exactly the same cups that the speech therapist used in rehab.",5.0 out of 5 stars
Just what he needed!,"My 99 year old Dad has lost a lot of his fine motor skills, and I'd already switched him over to an adaptive plate and flatware when I found these cups. His immediate response was ""where have you been hiding this?"". I'm just sorry I didn't find them sooner! They're perfect for his needs.",5.0 out of 5 stars
Recommend,"Very pleased with this product.My husband ha Alzheimer’s and it’s getting very hard for him to use a regular cup.These cups came quickly,and well packaged.For us, they’re working great, my husband can use one handle on good days and two handles on not so good days.A big plus is they do not look child like and give him the dignity he’ll always have.",5.0 out of 5 stars
Easy to spill,It depends on why they are using these of course.  Don't expect them to last very long if they are dropped often.  They are hard plastic.  My elderly father would twirl them upside down and everything poured out.  They have no internal straw or spill resistant feature.  Good for those that regular cups slide out of their hands.,4.0 out of 5 stars
Didn’t work for us,I got these mugs for an elderly patient who often has trouble swallowing. She didn't like the sippy aspect. I didn’t like how hard it was to pry the lid off although I'm sure they need to be so tight to prevent leaks. Most elderly people would never be able to remove the lid themselves.,3.0 out of 5 stars
