title,review,star
Good option for person with swallowing/head tilting problems,"I bought one of these for my mother who suffers from a Parkinson's type disease called PSP (Progressive Supranuclear Palsy) and has increasing difficulties with swallowing. She has limited use of one hand, so the big handle and weighted bottom are a plus. She cannot tilt her head up at all, and relies on a straw/sippy cup for liquids, so this mug allows her to drink coffee or other beverages more normally and is working fine so far. We bought the green one for juice. However, as things progress I can see that the cup won't work if the amount of liquid that comes out needs to be controlled; that's probably why one reviewer here said it didn't work for a person with Dysphagia. I can see we'll need to move to a portion-control type cup sometime soon. Note we have not had any problems with staining or breakage. Wash them both on the top rack of the dishwasher, and they are both used daily.",4.0 out of 5 stars
"She has very painful hands, wrist","I bought this mug to help my 80 year old mom who suffers from severe arthritis. She loves the handle because the grip is large enough to put all four fingers through, no finger strength or balance is required.  The bottom of the mug is weighted which helps keep the mug level when raised to the mouth.  She has very painful hands, wrist, shoulder joints as well as a tremor.  She can swallow just fine so the name dysplasia cup doesn't do it justice.  This mug is excellent for RA and Parkinson's, and the curve of the lip works perfect. The user can enjoy any hot or cold beverage in control without spills.",5.0 out of 5 stars
This is a good cup for my 92 year old dad who can't ...,This is a good cup for my 92 year old dad who can't tip his head back very far anymore. He needed a cup for his coffee that he can use and not pour all over himself. This works very well. There aren't many options for coffee cups and I'm thrilled I found this!!,5.0 out of 5 stars
Dysphagia Cup,"This is a good example of considered industrial design. Its shape makes the use by patients easy. Careful design allows draining of the cup contents without the need to tilt the head back excessively. This feature helps to reduce the possibility of the contents ""going down the wrong way"".The base is thicker than the rest of the cup.This puts mass where it is needed to stabilize the cup.The handle adds  to the stability being part of the base; it is also wide enough to provide a firm grip.The cup is also dishwasher friendly although it requires careful placement to fit in our machine.We purchased almond and green cups.Both colours are satisfactory, however if we were going to buy again we would probably purchase almond.This is because we cannot see that the more expensive green cup offers anything for the extra money.Almed's delivery was prompt and the packaging was suitable for safe transit.",5.0 out of 5 stars
Excellent cup for those that need help with drinking.,"Sturdy plastic cup that won't tip over, thanks to the weighted bottom and large grip handle. I was skeptical of the oval shape, but my mother has no problem drinking from it. Almost didn't buy it because of the price, but it has proved to be worth the investment.",5.0 out of 5 stars
Great Product,Thank you for this cup.  My mother had a stroke and this prevents spilling the drink over her; as well as kept the fluid in the right direction to prevent choking.,5.0 out of 5 stars
Great cup,Great cup for people like my husband who had a stroke and was having trouble drinking.  It was a save for us.  I love it..Thank you for this product,5.0 out of 5 stars
Love them,Love them - wish I could have ordered other than almond.  Very easy for my husband to drink out of.,5.0 out of 5 stars
tippy,"Cup seemed like it would tip over easily, returned.  Plastic felt kind of cheap.",2.0 out of 5 stars
Two Stars,First time it was washed (by hand no less) it chipped on the base.,2.0 out of 5 stars
