title,review,star
Nutrition Problem Solved,"I've ordered a total of 4 of these cups. They work great for drinking smoothies, creamed soups, and other similar foods. I've been unable to chew foods while waiting for facial reconstruction surgery and these have been the perfect solution. I was rapidly losing weight from not being able to eat before finding these cups.As the description says, they can be used laying down, but I use them sitting up. They're easy to wash by hand, or put on top DW shelf. I don't put them in the microwave, I heat the soup in a glass measuring cup first, then pour into the cup. I don't use any plastic in the DW. When my surgeon asked how I've been eating I told him about these cups, he was very impressed. He told me they will also be perfect to use after surgery during my recovery time.The only negative is that tomato soup does slightly stain the inside of the cup, but that's true of any tomato product and plastic. There's no residual smell or taste, just slightly discolored. When I noticed that I marked that cup to be the only one I use for tomato soup or others that may stain.",5.0 out of 5 stars
Lewy Who?,"This cup has been great for my brother who has Lewy Body Dementia (the 2nd most common form of degenerative dementia, after Alzheimer's, and includes motor control and stiffness, like Parkinson's). He doesn't have great control of his hands, so the small (but not tiny) size of the cup has worked well for him. He can get a good grip on it. He uses it with a flexible straw with the flexy part in the bottom of the cup, so if he's reclined the straw is still in the drink. [...]",5.0 out of 5 stars
A big help for the bedbound,"My father has late stage lung cancer and is now so weak that he is mostly bedbound. This cup has made drinking without spilling easier for him. Straws help, but require a lot of maneuvering to avoid tipping the cup too much. This, on the other hand, allows full tilting without frustrating spills. It also doesn't look like a child's cup, which would have embarrassed my dad. I love whoever came up with this. Thank you so much.",5.0 out of 5 stars
It really does help,"This is my second order.  I ordered the first one and it worked very well for my elderly mother who has trouble eating and swallowing due to vascular dementia.  I have mixed pureed food with a little liquid to make it more like a creamy soup and give it to her that way.  This cup has substantially decreased the amount of spillage when spoon feeding her.  With the cup, her intake is much greater with less mess.  The mouth hole size is very good and you are actually able to control the amount.  She has been fed in bed while slightly reclined.  Additionally, she likes the cup as well.  I use the first for soup/food and the second for drinks like Ensure.  Lastly, a great price!",5.0 out of 5 stars
Thanks to only two parts is easy to clean and sanitize,"I have 2 of these for my father who is on hospice and requires nectar thick liquids. It's spout hole is large enough for a larger plastic straw and accommodates the flow of thicker fluids. When he tips it to drink I can control the flow with the hole on the opposite side of the lid. The spout also decreases his confusion about what side to drink from when he is able to drink on his own. This is not spill proof, but spill reducing. Although the lid is simple to remove I have found it remains attached to the cup even when knocked over or dropped. Thanks to only two parts is easy to clean and sanitize.",5.0 out of 5 stars
Great Lightweight Cup for Handicapped Adults,"The cup I received is just as pictured. I ordered it for my mom who only has the use of one hand and has trouble swallowing due to a stroke. She uses it with and without the lid and can easily remove it by herself with one hand. She learned easily how to control the flow of the liquid. Previously we were using glasses with weighted bottoms because she has a tendency to knock them over accidentally, but the only ones she could grasp only held 4 ozs and we were having to buy new ones frequently because they were constantly being broken. I switched to these and I'm very glad I did. They hold 8 ozs and she has no trouble with them at all. I also like that they are top shelf dishwasher safe. The lid stays on pretty well but will come off if dropped onto the floor.",5.0 out of 5 stars
Great cup (for one day...),"Cup arrived quickly and looked promising. I bought this for my elderly aunt who has Alzheimers and is bedridden much of the time. She loved the cup, as she could drink while in a reclining position.  Unfortunately she dropped the cup at the end of the first day from her bed and part of the plastic broke off (see photo).  It's the part that you pry off and on to fill. I would have given it 5 stars IF that hadn't happened...and after just a a few hours use...I also bought some dual handled plastic cups and those were too heavy for her so this one would have been the ideal one.",3.0 out of 5 stars
These allowed her to lay in a more comfortable position and still drink,"Mom was bed-bound the last 6 months of her life. We had a hospital bed that allowed her to sit upright but it was uncomfortable for her. These allowed her to lay in a more comfortable position and still drink. I kept one always full of water by her bed. I also gave her morning juice and nutritional supplement in them. I ended up buying extras so I always had a couple clean. They are safe for hot liquids too, but she didn't like her tea in plastic - that was just her preference though and not a fault of the product.",5.0 out of 5 stars
"Disappointing, only for truly bedridden who don’t mind leaks.","You control flow by blocking the air hole in cap. Lid slides in, doesn’t screw in, so not secure. Take in A LOT of air, which after abdominal surgery is a no-no & you don’t sip out the end of the spout...it’s out of the top, which is wide enough for a straw. Lastly, measurements are NOT accurate.",1.0 out of 5 stars
Very helpful for my dad,"My dad has a health issue that is causing his swallow-reflex to weaken.  As a result, he chokes easily, and is weak enough that it can get serious.  This cup has dramatically lessened his choking.  The hole is on the side of the spout, not the end, and that simple change makes it much easier for him to regulate the flow of liquid, to avoid choking.  We have bought three of them now.",5.0 out of 5 stars
