,title,review,star,Product,polarity,subjectivity
0,It is great for me overall!,"Really good for me, with difficulty swallowing. No problem with it at all, for me it is great for Atypicle Parkinson’s: PSP",5.0 out of 5 stars,soupbionixthick.csv,0.75,0.675
1,Easy straws for the elderly,It doesn’t work for me I have no suction my throat is the problem,1.0 out of 5 stars,soupbionixthick.csv,0.0,0.0
2,4-5 time use,They don’t last too long,3.0 out of 5 stars,soupbionixthick.csv,-0.025,0.23333333333333334
3,You have to push the straw in very hard!,It helped my sister drink water again after having a massive stroke.,5.0 out of 5 stars,soupbionixthick.csv,0.0,1.0
4,Difficult to use,Difficult to use.,2.0 out of 5 stars,soupbionixthick.csv,-0.5,1.0
5,Did not work for us,This did not work for my Mom who had a stroke.  The weight at the bottom kept getting stuck.  Straw didn't seat well.  Waste of money.,1.0 out of 5 stars,soupbionixthick.csv,-0.2,0.0
6,Awesome product!,My student with autism often chickens when drinking. This has kept her from choking al together. It’s awesome! Worth the money for sure.,5.0 out of 5 stars,soupbionixthick.csv,0.6,0.662962962962963
7,but the product is pretty good l,"Size not the size I expected, but the product is pretty good l.",3.0 out of 5 stars,soupbionixthick.csv,0.2833333333333333,0.6666666666666666
8,Too hard to use for elderly mom,"Requires too much suction. Person who would need such a device probably doesn't have the lung strength to use -- my mom didn't. Good idea tho.But the company refunded cost immediately and I guess bc it's a personal device, can't resell so I didnt even have to ship back.",2.0 out of 5 stars,soupbionixthick.csv,0.18,0.32
9,very small amount of liquid dispenses,We were a little disappointed after trying the straw. We probably should have opted for the one advertised for 'thickened liquids' because this dispenses such a small amount that it is not practical for my husband who has swallowing issues following a stroke. Unless you are following specific recommendations from a therapist I think the majority of people would be happier with the 10ml straw. It also seems a little flimsy for the price.,3.0 out of 5 stars,soupbionixthick.csv,-0.171875,0.371875
10,I highly recommend this item for anyone with dysphagia,I highly recommend this item for anyone with dysphagia. This item was recommened by E.N.T specialist for my son who has chronic seizures.  Very easy to use and easy to wash. You can use regular size straw with it which comes separate.  Depending on the size of the cup or glass the straw will need to be cut to size suitable for drinking.  This item has been very useful and helpful for my son's condition. There is a small ball inside the tube to help regulate the amount of fluid the person takes in at a time. Worth the purchase.,5.0 out of 5 stars,soupbionixthick.csv,0.20966666666666667,0.38002564102564107
11,It often doesn't work.,One can suck and suck and usually no liquid  commmes up.,1.0 out of 5 stars,soupbionixthick.csv,0.125,0.25
12,Bad design,Doesn’t work,1.0 out of 5 stars,soupbionixthick.csv,0.0,0.0
13,Not worth it,Not easy to use..  Poor design,2.0 out of 5 stars,soupbionixthick.csv,-0.30833333333333335,0.7166666666666667
0,Mostly retired rehab nurse here.,"It's a good tool for someone cognitively intact. I would NOT purchase for someone with dementia and dysphagia, because it does require a certain amount of thought and reasoning to use. It would likely be beyond the capacity of most dementia patients.I'm cognitively intact and have dysphagia along with functional quadriplegia. I cannot properly form a liquid bolus, so I frequently get aspiration pneumonia from drinking.The straw forces me to stop, think, and swallow properly due to its mechanism. It took me a day or so to train myself to the actual process required to utilize it properly.I see a lot of people saying that this is not working well for people who have dementia or parkinson's. And I can understand why this is not for someone who cannot think through the actual process of the mechanism. like the person needs to be cognitively intact in order to be able to utilize this. It is the perfect tool for someone like me who is a functional quadriplegic but it's still cognitively intact and can work through how to utilize this particular tool. If a person does not have the ability to think through simple problems then this is absolutely not the tool for them. so someone with alzheimer's, lewy bodies, certain strokes where it has impacted their cognition, etc, would not be an appropriate candidate for this.I spent years as a rehab nurse and aid, only recently retiring in 2019. I still practice on occasion on contracts from home under administrative needs, but have a relatively good understanding of rehabilitation, dysphasia, cognition, etc. I have a progressive disorder which was the only reason that I stopped and it does not affect cognition. that's why I feel so free in saying who this may and may not be a good candidate for. And I am not saying it absolutely would not be appropriate for some people with dementia and other issues, but I'm saying that I can definitely understand why it would not be or why it would be extremely difficult to use even to the extent of the person not taking fluids.So a total thumbs up for people who are cognitively intact and can think through simple problems. Like someone who could do a 100-piece puzzle would be cognitively appropriate to utilize this particular tool. I gave it a thumbs down for people who are not cognitively intact, or could not work say a 100 piece jigsaw puzzle, because they would not be able to think through how to utilize this tool appropriately.but I've had great success with it over the past few days that I've had it. I've only choked once and it was very very minor and I was able to clear it quickly. And honestly, it was my fault.I'm also seeing people talking about quote overriding the mechanism. It's almost impossible to override the mechanism. so don't worry about that. I don't know what those people were talking about or if they have modified the tool slightly, but it's not a major concern.in my packages of the safe straw I did have two straws that came with it, which was another big gripe that I saw people having. So obviously they have made minor changes and maybe the safe straw before was a bit different and it was easy to override. The current model is not easily overridden, because I did test that out. I saw that so frequently mentioned that I thought I should double check it for both my safety and for the purpose of this review. I would list it as not a concern, because I have a pretty strong ability to suck on something to obtain fluids. I collapsed the straw into Oblivion and was not able to obtain excess fluids of the amount that should be able to enter the safe straw.I cannot attest to the safety of this for the use of pediatrics, so please consult a speech therapist or feeding expert before using. it does give the appropriate amount of fluids for a safe swallow for an adult, but again I cannot attest to the safety of it for pediatric utilization.",4.0 out of 5 stars,soupbionixthin.csv,0.17439544252044248,0.5211772486772487
1,Frustration for memory patients discourages them to drink!,"Recommended by Speech therapist:The package came quickly and it did include **2 straws which because they aren't a standard size was a good thing.I tried it myself and as another reviewer said you can easily over power the reducer to obtain more liquid to cause choking.  Patient did it first thing at 95 years of age! But another important thing to note is if your loved one has memory issues they will forget they must release and either suck harder over powering it, or discouraged them to drink at all, which we found.Additionally they very quickly figure out how to pull up on the straw which disconnects the straw from reducer.  All of which discouraged drinking either by choking or frustation.I would only recommend for cognitive patient who just needs a reminder to sip slower.",2.0 out of 5 stars,soupbionixthin.csv,0.33749999999999997,0.5651515151515153
2,Doesn’t do the job as expected,This device was recommended by a speech therapist for my wife who has PSP. I have not found that this device only supplies one teaspoon of water. My wife continually over powers it and winds up choking. I followed the instructions when I set up for her use. It would seem that the bullet on the inside of this device should longer to control the volume to what was stated in the instructions. I could control it better with a nose cup.,1.0 out of 5 stars,soupbionixthin.csv,0.25,0.75
