title,review,star
Mostly retired rehab nurse here.,"It's a good tool for someone cognitively intact. I would NOT purchase for someone with dementia and dysphagia, because it does require a certain amount of thought and reasoning to use. It would likely be beyond the capacity of most dementia patients.I'm cognitively intact and have dysphagia along with functional quadriplegia. I cannot properly form a liquid bolus, so I frequently get aspiration pneumonia from drinking.The straw forces me to stop, think, and swallow properly due to its mechanism. It took me a day or so to train myself to the actual process required to utilize it properly.I see a lot of people saying that this is not working well for people who have dementia or parkinson's. And I can understand why this is not for someone who cannot think through the actual process of the mechanism. like the person needs to be cognitively intact in order to be able to utilize this. It is the perfect tool for someone like me who is a functional quadriplegic but it's still cognitively intact and can work through how to utilize this particular tool. If a person does not have the ability to think through simple problems then this is absolutely not the tool for them. so someone with alzheimer's, lewy bodies, certain strokes where it has impacted their cognition, etc, would not be an appropriate candidate for this.I spent years as a rehab nurse and aid, only recently retiring in 2019. I still practice on occasion on contracts from home under administrative needs, but have a relatively good understanding of rehabilitation, dysphasia, cognition, etc. I have a progressive disorder which was the only reason that I stopped and it does not affect cognition. that's why I feel so free in saying who this may and may not be a good candidate for. And I am not saying it absolutely would not be appropriate for some people with dementia and other issues, but I'm saying that I can definitely understand why it would not be or why it would be extremely difficult to use even to the extent of the person not taking fluids.So a total thumbs up for people who are cognitively intact and can think through simple problems. Like someone who could do a 100-piece puzzle would be cognitively appropriate to utilize this particular tool. I gave it a thumbs down for people who are not cognitively intact, or could not work say a 100 piece jigsaw puzzle, because they would not be able to think through how to utilize this tool appropriately.but I've had great success with it over the past few days that I've had it. I've only choked once and it was very very minor and I was able to clear it quickly. And honestly, it was my fault.I'm also seeing people talking about quote overriding the mechanism. It's almost impossible to override the mechanism. so don't worry about that. I don't know what those people were talking about or if they have modified the tool slightly, but it's not a major concern.in my packages of the safe straw I did have two straws that came with it, which was another big gripe that I saw people having. So obviously they have made minor changes and maybe the safe straw before was a bit different and it was easy to override. The current model is not easily overridden, because I did test that out. I saw that so frequently mentioned that I thought I should double check it for both my safety and for the purpose of this review. I would list it as not a concern, because I have a pretty strong ability to suck on something to obtain fluids. I collapsed the straw into Oblivion and was not able to obtain excess fluids of the amount that should be able to enter the safe straw.I cannot attest to the safety of this for the use of pediatrics, so please consult a speech therapist or feeding expert before using. it does give the appropriate amount of fluids for a safe swallow for an adult, but again I cannot attest to the safety of it for pediatric utilization.",4.0 out of 5 stars
Frustration for memory patients discourages them to drink!,"Recommended by Speech therapist:The package came quickly and it did include **2 straws which because they aren't a standard size was a good thing.I tried it myself and as another reviewer said you can easily over power the reducer to obtain more liquid to cause choking.  Patient did it first thing at 95 years of age! But another important thing to note is if your loved one has memory issues they will forget they must release and either suck harder over powering it, or discouraged them to drink at all, which we found.Additionally they very quickly figure out how to pull up on the straw which disconnects the straw from reducer.  All of which discouraged drinking either by choking or frustation.I would only recommend for cognitive patient who just needs a reminder to sip slower.",2.0 out of 5 stars
Doesn’t do the job as expected,This device was recommended by a speech therapist for my wife who has PSP. I have not found that this device only supplies one teaspoon of water. My wife continually over powers it and winds up choking. I followed the instructions when I set up for her use. It would seem that the bullet on the inside of this device should longer to control the volume to what was stated in the instructions. I could control it better with a nose cup.,1.0 out of 5 stars
Bellow expectations,"is difficult to be the first negative reviewer mostly because the responsibility on nixing a product or discourage other people to potentially benefit from its use,It was recommended by the Speech Therapist working with my wife,she is a very professional and caring person who has care for her swallowing  difficulties secondary to a severe Parkinson's disease that has rendered her totally prone to chock and unable to swallow liquids.This product has potential,the idea simple on its design could be another tool,however, nothing is more infuriating than receiving a product that requires the customer to get in the car and start shopping for parts that should have been included to be functional,reminds me of the battery operated items that do not include them,or the artifacts requiring a cable not included etc.On a almost 12 dollars gadget like this the producer is not charging for materials as this is a very simple plastic tube with a floating ball like a car battery charge meter,understand what is been charged is really the idea and that is fine,however just do not send this tube on a little box and tell the buyer to go,. had  this tube have included a couple of straws (2 cents) and a plastic cup (30 cents?) will have made the difference between a complaining  buyer  and a happy one,poor marketing,not ready for prime time.Go back to your marketing consultant and ask for a refund on their advice.Oh ya,forgot,does it work? well it depends on many factors,as the amount of liquid available on suction is minimal.in order to bring a reasonable amount of liquid,the person has to develop a certain rhythm , and that is the weakest point, as it requires from a highly disabled patient to understand and WORK at it,if the patient is dysfunctional or highly disabled/impaired  then will pose a challenge and possible inability to use it. I do not think this gadget is meant to be a tool for drinking as much as a tool to wet your mouth.Sorry,you may try,can always return it,I think may do that after a few more days.August 12 updateInitial part with criticism of item remainsas for the use of this item,improved rating up one star.with much encouragement and patience my wife is learning to coordinate her sucking on the straw and time it for a reasonable flow,it certainly is safer than using a regular straw with the risk of a lungs aspiration.With available alternatives at an armed robbery cost,this unit is more than generously priced,hope could increase rating one more star,time will tell.August 13goes back,just does not work.",1.0 out of 5 stars
Excellent product,"Item worked beyond expectations. My aunt can now drink through a straw again without getting choked. Good for stroke patients or anyone who has an issue with drinking too quickly. Item arrived less than 24 hours after we placed the order. We are very grateful as we couldn't find this product at any of our local medical equipment or home health stores. Thank you so much, highly recommended.",5.0 out of 5 stars
Great product but prepare for learning curve,This is a great product when used correctly and right viscosity of liquid. It has a purpose and does what it should to prevent aspiration. That being said be prepared for person drinking hating it at first and be ready to encourage them it will supply a small sip which they can swallow safely. Sucking harder won't help.,5.0 out of 5 stars
Doesn't work,Did not work the way I was expecting. Tried it with my patient and they quickly over powered it and got too much liquid at one time. Very disappointed. I was hopeful.,1.0 out of 5 stars
Works ok,Works ok most of the time if you don’t over power it.,5.0 out of 5 stars
Didn't Work,This doesn't work! It still allows too much water into the mouth.,1.0 out of 5 stars
Helps with swallowing,This accessory to the straw helps with drinking water and other liquids in that the accessory allows only a sip at a time.  This prevents choking on ppl that need help with swallowing.,5.0 out of 5 stars
